total,private,medicaid,uninsured,private_percent,medicaid_percent,uninsured_percent,geo_id,Appendix
2916064,2206348,349954,396513,75.7,12,13.6,1,AL
418442,285875,77432,60202,68.3,18.5,14.4,2,AK
4206665,2983659,713423,594797,70.9,17,14.1,4,AZ
1728354,1178068,364755,205888,68.2,21.1,11.9,5,AR
23477300,16844190,5281909,2136668,71.7,22.5,9.1,6,CA
3560553,2748570,531595,340041,77.2,14.9,9.6,8,CO
2156769,1658264,410211,155021,76.9,19,7.2,9,CT
574650,447166,95348,47778,77.8,16.6,8.3,10,DE
441913,354233,82101,17024,80.2,18.6,3.9,11,DC
12672391,9293883,1396931,2059102,73.3,11,16.2,12,FL
6445824,4855448,631444,1071222,75.3,9.8,16.6,13,GA
782944,630476,128734,37775,80.5,16.4,4.8,15,HI
1096006,821611,176488,126097,75,16.1,11.5,16,ID
7433633,5747767,1170338,697601,77.3,15.7,9.4,17,IL
3954766,3023383,660963,372459,76.4,16.7,9.4,18,IN
1828074,1496720,292378,111544,81.9,16,6.1,19,IA
1657703,1352571,145951,206935,81.6,8.8,12.5,20,KS
2599012,1800849,636085,198751,69.3,24.5,7.6,21,KY
2615711,1696164,730642,268761,64.8,27.9,10.3,22,LA
805195,598547,139674,77359,74.3,17.3,9.6,23,ME
3627388,2872704,571997,298648,79.2,15.8,8.2,24,MD
4255270,3429033,884570,138514,80.6,20.8,3.3,25,MA
5858108,4440578,1222353,385023,75.8,20.9,6.6,26,MI
3334664,2695403,541598,205233,80.8,16.2,6.2,27,MN
1653780,1181465,236507,270661,71.4,14.3,16.4,28,MS
3552805,2765631,388312,431872,77.8,10.9,12.2,29,MO
635153,454583,114722,73422,71.6,18.1,11.6,30,MT
1110453,913114,127842,103077,82.2,11.5,9.3,31,NE
1880248,1322059,303862,287817,70.3,16.2,15.3,32,NV
837307,689804,93739,57512,82.4,11.2,6.9,33,NH
5484095,4337844,774573,527161,79.1,14.1,9.6,34,NJ
1191031,710321,353501,148517,59.6,29.7,12.5,35,NM
11767983,8583315,2920718,803657,72.9,24.8,6.8,36,NY
6217037,4723238,730988,842882,76,11.8,13.6,37,NC
448374,377970,47358,37301,84.3,10.6,8.3,38,ND
6784974,5128551,1239591,549335,75.6,18.3,8.1,39,OH
2277825,1558839,340483,381898,68.4,14.9,16.8,40,OK
2507769,1847888,520821,221534,73.7,20.8,8.8,41,OR
7528115,5975046,1316204,524364,79.4,17.5,7,42,PA
657030,511034,126592,39799,77.8,19.3,6.1,44,RI
3005248,2256525,371962,408521,75.1,12.4,13.6,45,SC
498967,406973,39581,56849,81.6,7.9,11.4,46,SD
4140306,3101654,535044,553784,74.9,12.9,13.4,47,TN
17731264,12547963,1421807,3975412,70.8,8,22.4,48,TX
1968052,1650999,154574,208130,83.9,7.9,10.6,49,UT
379740,290687,75387,21371,76.5,19.9,5.6,50,VT
5038561,3901600,665729,449150,77.4,13.2,8.9,51,VA
4648020,3624638,743321,410419,78,16,8.8,53,WA
999164,674697,254003,91224,67.5,25.4,9.1,54,WV
3429007,2792494,506251,240398,81.4,14.8,7,55,WI
326649,247861,24177,54158,75.9,7.4,16.6,56,WY
1887096,862445,849762,143559,45.7,45,7.6,72,PR
